Interface ID,Surface ID,Total atoms,Lower hkl,Upper hkl,Lower area,Upper area,U misfit (%),V misfit (%),Angle misfit (°),Area misfit (%),T_0_1,T_0_2,T_0_3,T_0_4,T_1_1,T_1_2,T_1_3,T_1_4
20,2,1008,100,111,290.256916,284.670620,1.264065,0.575072,0.252971,1.924604,2.000000,1.000000,3.000000,-2.000000,1.000000,1.000000,4.000000,0.000000
20,3,1008,100,111,290.256916,284.670620,1.264065,0.575072,0.252971,1.924604,2.000000,1.000000,3.000000,-2.000000,1.000000,1.000000,4.000000,0.000000
20,4,1008,100,111,290.256916,284.670620,1.264065,0.575072,0.252971,1.924604,2.000000,1.000000,3.000000,-2.000000,1.000000,1.000000,4.000000,0.000000
21,1,2872,101,001,753.108702,754.525634,3.266731,4.404238,2.912009,0.188144,1.000000,4.000000,-3.000000,3.000000,3.000000,5.000000,8.000000,-3.000000
21,2,2872,101,001,753.108702,754.525634,3.266731,4.404238,2.912009,0.188144,1.000000,4.000000,-3.000000,3.000000,3.000000,5.000000,8.000000,-3.000000
21,3,2872,101,001,753.108702,754.525634,3.266731,4.404238,2.912009,0.188144,1.000000,4.000000,-3.000000,3.000000,3.000000,5.000000,8.000000,-3.000000
21,4,2872,101,001,753.108702,754.525634,3.266731,4.404238,2.912009,0.188144,1.000000,4.000000,-3.000000,3.000000,3.000000,5.000000,8.000000,-3.000000
22,1,4316,101,010,1154.766677,1179.145409,4.633910,2.470397,0.526067,2.111139,-2.000000,5.000000,3.000000,4.000000,2.000000,6.000000,2.000000,-6.000000
22,2,4316,101,010,1154.766677,1179.145409,4.633910,2.470397,0.526067,2.111139,-2.000000,5.000000,3.000000,4.000000,2.000000,6.000000,2.000000,-6.000000
22,3,4316,101,010,1154.766677,1179.145409,4.633910,2.470397,0.526067,2.111139,-2.000000,5.000000,3.000000,4.000000,2.000000,6.000000,2.000000,-6.000000
22,4,4316,101,010,1154.766677,1179.145409,4.633910,2.470397,0.526067,2.111139,-2.000000,5.000000,3.000000,4.000000,2.000000,6.000000,2.000000,-6.000000
23,1,3780,101,011,1054.352183,1029.752240,4.918662,3.578022,4.619274,2.333181,-3.000000,-3.000000,-2.000000,5.000000,4.000000,2.000000,8.000000,-1.000000
23,2,3780,101,011,1054.352183,1029.752240,4.918662,3.578022,4.619274,2.333181,-3.000000,-3.000000,-2.000000,5.000000,4.000000,2.000000,8.000000,-1.000000
23,3,3780,101,011,1054.352183,1029.752240,4.918662,3.578022,4.619274,2.333181,-3.000000,-3.000000,-2.000000,5.000000,4.000000,2.000000,8.000000,-1.000000
23,4,3780,101,011,1054.352183,1029.752240,4.918662,3.578022,4.619274,2.333181,-3.000000,-3.000000,-2.000000,5.000000,4.000000,2.000000,8.000000,-1.000000
24,1,1260,101,110,351.450728,347.409048,4.091648,3.525146,4.335410,1.149999,1.000000,2.000000,-2.000000,3.000000,1.000000,1.000000,-4.000000,1.000000
24,2,1260,101,110,351.450728,347.409048,4.091648,3.525146,4.335410,1.149999,1.000000,2.000000,-2.000000,3.000000,1.000000,1.000000,-4.000000,1.000000
24,3,1260,101,110,351.450728,347.409048,4.091648,3.525146,4.335410,1.149999,1.000000,2.000000,-2.000000,3.000000,1.000000,1.000000,-4.000000,1.000000
24,4,1260,101,110,351.450728,347.409048,4.091648,3.525146,4.335410,1.149999,1.000000,2.000000,-2.000000,3.000000,1.000000,1.000000,-4.000000,1.000000
25,1,1260,101,111,351.450728,355.838275,1.991476,0.635788,2.382852,1.248410,0.000000,1.000000,7.000000,0.000000,1.000000,0.000000,-2.000000,-5.000000
25,2,1260,101,111,351.450728,355.838275,1.991476,0.635788,2.382852,1.248410,0.000000,1.000000,7.000000,0.000000,1.000000,0.000000,-2.000000,-5.000000
25,3,1260,101,111,351.450728,355.838275,1.991476,0.635788,2.382852,1.248410,0.000000,1.000000,7.000000,0.000000,1.000000,0.000000,-2.000000,-5.000000
25,4,1260,101,111,351.450728,355.838275,1.991476,0.635788,2.382852,1.248410,0.000000,1.000000,7.000000,0.000000,1.000000,0.000000,-2.000000,-5.000000
26,1,2032,110,001,522.888271,523.548399,0.083534,0.032892,0.801364,0.126247,0.000000,-3.000000,3.000000,0.000000,5.000000,-3.000000,3.000000,5.000000
26,2,2032,110,001,522.888271,523.548399,0.083534,0.032892,0.801364,0.126247,0.000000,-3.000000,3.000000,0.000000,5.000000,-3.000000,3.000000,5.000000
26,3,2032,110,001,522.888271,523.548399,0.083534,0.032892,0.801364,0.126247,0.000000,-3.000000,3.000000,0.000000,5.000000,-3.000000,3.000000,5.000000
26,4,2032,110,001,522.888271,523.548399,0.083534,0.032892,0.801364,0.126247,0.000000,-3.000000,3.000000,0.000000,5.000000,-3.000000,3.000000,5.000000
27,1,1104,110,010,290.493484,294.786352,1.380100,0.282508,3.023732,1.477785,-2.000000,-1.000000,-1.000000,2.000000,1.000000,3.000000,1.000000,-3.000000
27,2,1104,110,010,290.493484,294.786352,1.380100,0.282508,3.023732,1.477785,-2.000000,-1.000000,-1.000000,2.000000,1.000000,3.000000,1.000000,-3.000000
27,3,1104,110,010,290.493484,294.786352,1.380100,0.282508,3.023732,1.477785,-2.000000,-1.000000,-1.000000,2.000000,1.000000,3.000000,1.000000,-3.000000
27,4,1104,110,010,290.493484,294.786352,1.380100,0.282508,3.023732,1.477785,-2.000000,-1.000000,-1.000000,2.000000,1.000000,3.000000,1.000000,-3.000000
28,1,1104,110,011,290.493484,308.925672,2.932996,3.816865,4.891673,6.345130,1.000000,0.000000,0.000000,-5.000000,2.000000,0.000000,1.000000,3.000000
28,2,1104,110,011,290.493484,308.925672,2.932996,3.816865,4.891673,6.345130,1.000000,0.000000,0.000000,-5.000000,2.000000,0.000000,1.000000,3.000000
28,3,1104,110,011,290.493484,308.925672,2.932996,3.816865,4.891673,6.345130,1.000000,0.000000,0.000000,-5.000000,2.000000,0.000000,1.000000,3.000000
28,4,1104,110,011,290.493484,308.925672,2.932996,3.816865,4.891673,6.345130,1.000000,0.000000,0.000000,-5.000000,2.000000,0.000000,1.000000,3.000000
29,1,6632,110,110,1801.059600,1806.527049,0.989047,1.214916,2.344417,0.303568,5.000000,-2.000000,3.000000,5.000000,6.000000,2.000000,-4.000000,3.000000
29,2,6632,110,110,1801.059600,1806.527049,0.989047,1.214916,2.344417,0.303568,5.000000,-2.000000,3.000000,5.000000,6.000000,2.000000,-4.000000,3.000000
29,3,6632,110,110,1801.059600,1806.527049,0.989047,1.214916,2.344417,0.303568,5.000000,-2.000000,3.000000,5.000000,6.000000,2.000000,-4.000000,3.000000
29,4,6632,110,110,1801.059600,1806.527049,0.989047,1.214916,2.344417,0.303568,5.000000,-2.000000,3.000000,5.000000,6.000000,2.000000,-4.000000,3.000000
30,1,1048,110,111,290.493484,284.670620,2.246515,3.887001,0.771651,2.004473,-1.000000,1.000000,2.000000,3.000000,2.000000,0.000000,2.000000,2.000000
